id,sentence,difficulty
151,"J’ai eu du mal à trouver des locations qui acceptent les animaux, mais j’ai fini par en trouver.",B1
152,"Voici donc notre programme : les trois premiers jours, nous allons visiter Quimper.",B1
153,"Sur les conseils d’un ami, nous allons voir le tombeau de Saint Corentin dans la cathédrale.",B1
154,"Puis, nous irons visiter le musée des beaux-arts.",B1
155,"Ensuite, nous ferons un saut au Jardin de la Retraite situé dans le centre-ville.",B1
156,Un jardin connu pour ses nombreuses plantes exotiques inconnues et très belles.,B1
157,"Après Quimper, nous irons faire un saut dans la ville close de Concarneau.",B1
158,"D’après ce qu’on nous a dit, c’est une cité fortifiée construite sur un îlot qui vaut vraiment le détour.",B1
159,"Pour terminer, nous avons réservé un hôtel à Bénodet devant la plage.",B1
160,Cette ville est une station balnéaire au cadre très agréable.,B1
161,"J’espère que nous pourrons nous baigner, mais l’eau sera très froide en cette période de l’année.",B1
162,Je ne sais pas si nous aurons le courage d’aller dans l’eau.,B1
163,Le reste du voyage n’est pas vraiment planifié.,B1
164,Nous allons improviser au fur et à mesure du séjour.,B1
165,"Bien sûr, nous allons en profiter pour goûter aux spécialités locales : comme le Kouign-Amann, le caramel au beurre salé et les galettes bretonnes.",B1
166,Nous avons vraiment hâte de découvrir cette région de la France que nous ne connaissons pas.,B1
