,sentence,difficulty
47,Il s’apprête maintenant à prendre le funiculaire qui l’emmènera au sommet de la colline de Fourvière.,B1
48,"Là, il pourra visiter la fameuse basilique Notre Dame de Fourvière et contempler la splendide vue panoramique sur la ville de Lyon depuis le belvédère.",B1
49,"En redescendant à pied, il s’arrêtera pour visiter le plus ancien théâtre gallo-romain de France, puis ira dîner dans un bouchon lyonnais, restaurant typique de la ville.",B1
50,"Ah, le mois de décembre : ses illuminations, la couronne de l’Avent pour les catholiques, et le fameux calendrier empli de chocolat pour les enfants... Tous ces préparatifs rendent chaque année l’atmosphère festive et enjouée.",B1
51,Il n’y a qu’à observer la métamorphose des rues commerçantes pour en être convaincu.,B1
52,"Finies les façades grises et ternes, terminée la morosité ambiante : les rues se parent de guirlandes scintillantes et les vitrines rivalisent d’imagination pour leur décoration.",B1
53,"Les passants semblent moins pressés, et s’attardent plus facilement devant une devanture ou dans les rayons.",B1
54,Les dernières semaines avant Noël se déroulent dans une ambiance joyeuse et féérique.,B1
55,Le 24 décembre est le jour du réveillon.,B1
56,"C’est l’occasion de fêter Noël en famille, en petit comité.",B1
57,"Un sapin fraîchement coupé est installé dans la cuisine ou le salon, et décoré à l’aide de guirlandes colorées et de boules de noël.",B1
58,"Les cadeaux seront déposés à son pied, le soir du 24 ou le 25 décembre au matin.",B1
59,"Le repas est servi sur une table resplendissante, recouverte de bougies et de petits santons.",B1
60,"Le lendemain, le 25 décembre, est le jour de Noël.",B1
61,C’est un jour de fête où l’on invite la famille plus éloignée à partager le repas de midi.,B1
62,C’est souvent un repas fastueux et long : il n’est pas rare de sortir de table vers 16 ou 17heures !,B1
