id,sentence,difficulty
28,"Le sort des journalistes en Irak, dont témoigne la disparition depuis plus d’un mois de la Française Florence Aubenas et de son guide, Hussein Hanoun Al Saadi, rap- pelle de façon dramatique les risques encourus par les reporters de guerre*.",B1
29,La course à l’audience peut aussi conduire à des traitements irréguliers et désas- treux de l’information.,B1
30,"Ainsi, le 3 février 2004, David Pujadas ouvre le journal télévisé de 20 heures sur *France 2 en annonçant le retrait de la vie politique d’un homme condamné par la justice ; au même moment, ce dernier est l’invité du journal de *TF1, où il annonce... qu’il reste.",B1
31,"Parfois, c’est l’information elle-même qui peut être arrangée pour la rendre plus claire ou... plus spectaculaire.",B1
32,"Et pour gagner du temps, des vérifications peuvent être omises.",B1
33,La fausse agression d’une jeune femme dans le *RER en juillet 2004 illustre ces deux aspects.,B1
34,"L’affaire fit la une de tous les jour- naux pendant cinq jours, jusqu’à ce que la prétendue victime avoue avoir tout inventé.",B1
35,"Et afin de pouvoir illustrer cette information ima- ginaire, *TF1 alla jusqu’à reconstituer la scène en image de synthèse.",B1
36,Publier une infor- mation peut aussi s’avérer dangereux sur le plan financier.,B1
37,"Mais les réparations obtenues en justice figurent désormais parmi les risques calculés des médias, en particulier pour la *presse people, prête à verser des centaines d’euros à une personne dont la photo a été publiée sans son accord, mais dont la publi- cation rapporte dix fois plus.",B1
38,Vous l’avez sans doute remarqué... c’est l’ordre des lettres sur un clavier d’ordina- teur.,B1
39,Mais savez-vous pourquoi les touches sont ainsi disposées de cette manière bizarre : AZERTY sur les claviers européens et QWERTY sur les claviers américains ?,B1
40,L’explication se révèle être très pratique.,B1
41,"En fait, cela remonte à l’époque des machines à écrire.",B1
42,"Pour éviter que les bras métalliques des machines ne s’entrechoquent et se bloquent lorsque les secrétaires tapaient très vite, on a eu l’idée d’éloigner les unes des autres les lettres qui étaient le plus souvent frappées.",B1
43,C’est ainsi que le B s’est retrouvé le plus loin possible du A et ainsi de suite.,B1
44,"Aujourd’hui, avec la disparition des machines à écrire et l’avènement des ordinateurs, le clavier AZERTY, en théorie, n’a plus lieu d’être.",B1
45,Mais difficile de changer les habitudes lorsque le pli est pris.,B1
46,"Pourtant, un Français a eu l’idée et l’audace de revenir en arrière.",B1
47,"Jean-Pierre Vignoles, un retraité de Sarlat en Dordogne, vient de lancer un clavier d’ordinateur alphabétique.",B1
48,"Les lettres sont rangées logiquement dans l’ordre A, B, C,
D, etc.",B1
49,Ce clavier alphabétique a été médaillé au concours Lépine !,B1
50,"Pour ceux qui n’ont jamais touché un cla- vier d’ordinateur, c’est plus facile.",B1
51,Jean-Pierre Vignoles est convaincu que cela intéressera notamment les jeunes qui sont habitués à écrire des SMS sur leur téléphone portable car sur un portable les lettres sont précisément disposées de manière alphabétique.,B1
52,Intéressant également pour les personnes qui font une utilisation peu intensive de l’ordinateur comme les magasiniers ou des artisans.,B1
53,Il se branche sur n’importe quel PC.,B1
54,"Et puis, Jean-Pierre Vignoles ne s’est pas contenté de remettre les lettres dans le bon sens, il a aussi remis de l’ordre dans les chiffres du pavé numérique : 1-2-3-4 comme sur un téléphone.",B1
55,Il reste à observer si les années qui viennent vont nous permettre d’assister à un large développement et une utilisation massive de ce clavier.,B1
56,Les personnes handicapées restent victimes de forts préjugés dans le monde du travail.,B1
57,"La sixième Semaine
pour l'emploi en leur faveur entend les combattre.",B1
58,"Elle est marquée par une reprise de la polémique sur les
Centres d'Aide par le Travail.",B1
59,"Aujourd'hui, 26% des personnes handicapées sont au chômage.",B1
60,"En cause, selon beaucoup, les préjugés dont
elles sont victimes.",B1
61,"Préjugés que la neuvième semaine pour l'emploi en leur faveur, qui vient de débuter, entend
combattre.",B1
62,"L'Association pour la gestion du fonds pour l'insertion* professionnelle des personnes handicapées
(Agefiph) et la Ligue pour l'Adaptation du diminué physique au travail (Adapt) veulent mobiliser autour du slogan
""Agir, c'est réussir"".",B1
63,"« Le handicap, lorsqu'il est visible est encore trop souvent associé à l'incompétence.",B1
64,"La mobilisation est plus que
jamais nécessaire pour modifier le regard sur le handicap », expliquent les deux associations.",B1
65,"Aujourd'hui,
rappellent-elles, « 215 000 personnes handicapées sont à la recherche d'un emploi et restent, en moyenne,
deux fois plus longtemps sans activité ».",B1
66,"Pourtant, 87% des entreprises qui emploient des travailleurs handicapés s'en disent satisfaites et 62% des
entreprises qui n'en emploient pas estiment qu'une telle expérience « pourrait se dérouler de manière
satisfaisante », selon un sondage réalisé en vue de la semaine d'action.",B1
67,"« On observe ainsi que le passage à
l'acte est déterminant pour les chefs d'entreprises, puisqu'ils sont majoritairement satisfaits lorsqu'ils ont effectué
une embauche* », a commenté le directeur général de l'Adapt, Philippe Velut.",B1
68,"D'après des témoignages de chefs
d'entreprise recueillis dans le Guide France Info Le salarié handicapé dans l'entreprise, ce dernier est « un
salarié comme les autres, avec en plus, la volonté de s'en sortir ».",B1
69,"Souvent « plus productif que les autres », il
crée un « effet fédérateur* dans une équipe de travail » où les petits problèmes courants sont « relativisés ».",B1
70,"La Semaine s'est ouverte lundi sur le parvis du Trocadéro à Paris, par un événement symbolique, en présence
des adjointes pour les personnes handicapées au maire de Paris.",B1
71,"Les Franciliens* sont invités par les
organisateurs « à manifester leur soutien à l'intégration des personnes handicapées dans le monde du travail, en
apposant l'empreinte colorée de leurs mains sur des livres géants ».",B1
72,"Tout au long de la semaine, 16 régions se
mobilisent et organisent près de 80 événements.",B1
73,"Forums, tables rondes, pièces de théâtre, match de ""torball""
(football adapté) entre une équipe de déficients visuels et des chefs d'entreprise, tout sera bon pour « lever les
freins psychologiques et culturels »




Les deux jeunes cuisiniers du Piano travaillent
exclusivement avec des produits frais.",B1
74,"Vous pourrez
découvrir leur cuisine gourmande et naturelle à
travers les meilleures recettes lyonnaises.",B1
75,"Le menu
est imaginé chaque jour en fonction de ce que les
chefs trouvent au marché de Lyon.",B1
76,"Ils vous feront
goûter, par exemple, du boudin noir aux pommes
ou la célèbre saucisse de Lyon.",B1
77,"Il n’y a cependant
pas de plats de légumes à la carte.",B1
78,"Le service est très professionnel, les serveurs savent
conseiller les clients.",B1
79,"Le restaurant possède un petit
salon calme pour les réunions et les dîners privés.",B1
80,"En France, un enfant sur cinq naît dans un foyer bilingue.",B1
81,"Il n’y a pas beaucoup de différences
dans le développement du langage entre un enfant bilingue et un enfant monolingue.",B1
82,"« À
24 mois, les enfants connaissent une cinquantaine de mots, souligne Barbara Abdelilah-Bauer,
linguiste.",B1
83,"Pour les enfants bilingues, ces mots sont partagés entre les deux langues.",B1
84,"» Cette situation
pourrait laisser croire qu’il y a un retard dans l’apprentissage d’une des deux langues, mais
« quand on étudie le vocabulaire des enfants bilingues et monolingues à trois ans, on trouve le même
nombre de mots, en moyenne.",B1
85,"»
Chaque famille a sa propre expérience du bilinguisme.",B1
86,"Ainsi, Johanna, qui est irlandaise et
vit à Nantes, témoigne : « En France, si je parle anglais à mon fils, Mathias, il me répond plutôt en
français.",B1
87,"Ce n’est qu’en Irlande, là où vit ma famille, et au bout de quelques semaines, qu’il fait des
phrases en anglais.",B1
88,"Lorsqu’il m’arrive de me fâcher contre mon fils, j’utilise spontanément ma langue
maternelle.",B1
89,"Je regrette tout de suite après car j’ai peur qu’il associe la langue anglaise à quelque chose
de désagréable.",B1
90,"Pour lui, parler sa langue maternelle avec ses filles, c’est surtout transmettre
quelque chose de la culture danoise.",B1
91,"« Je leur apprends des chansons en danois et elles regardent
aussi des dessins animés en danois.",B1
92,"Mais dans leur vie quotidienne, comme à l’école ou avec leurs
copains, c’est clair, c’est le français qui l’emporte.",B1
93,"Ce n’est vraiment pas simple de transmettre sa langue
lorsqu’on n’est pas dans son pays d’origine !",B1
94,"»
Barbara Abdelilah-Bauer évoque un autre point : « Encore aujourd’hui, certains pensent qu’un
enfant élevé dans deux langues différentes réussit moins bien à l’école.",B1
95,"De plus,
les langues n’ont pas la même image dans la société.",B1
96,"« Malheureusement, on voit souvent la
capacité à parler anglais comme une force, mais pas forcément d’autres langues, regrette Barbara
Abdelilah-Bauer.",B1
97,"Je reçois par exemple des couples franco-espagnols qui n’ont qu’une envie : que leur
enfant apprenne l’anglais.",B1
98,"»


C’est un fait inquiétant qu’on constate dans toutes les capitales européennes : les touristes
séjournent de plus en plus dans des appartements loués sur des sites internet.",B1
99,"Laurent Lopez,
directeur d’hôtel, est directement concerné : « notre chiffre d’affaire baisse de 10 % chaque année
depuis 3 ans.",B1
100,"» En parallèle, ce nouveau mode d’hébergement a provoqué une augmentation
du prix du mètre carré.",B1
101,"Ainsi, à Barcelone, le quartier historique se vide peu à peu de ses
habitants qui, pour des raisons économiques, préfèrent déménager en banlieue.",B1
102,"Aujourd’hui,
le quartier ne compte plus que 15 624 résidents à l’année alors qu’ils étaient 27 470 en 2006.",B1
103,"Par ailleurs, Yolande, qui habite à Paris, nous explique que son quotidien est devenu très
difficile en raison des locations saisonnières : « Les arrivées et départs à n’importe quelle heure
de la journée, les fêtes toute la nuit, les groupes de touristes qui envahissent le hall de l’immeuble avec
leurs valises… On ne se sent plus chez soi.",B1
104,"Nous ne voulions pas d’ascenseur, mais un voisin qui loue
son appartement en voulait absolument un pour attirer les touristes.",B1
105,"Ça nous a donc coûté de l’argent,
s’énerve-t-elle.",B1
106,J’ai été me plaindre à la mairie mais ça n’a servi à rien !,B1
107,"»
Le marché de la location saisonnière peut rapporter beaucoup d’argent : en moyenne 350 €
supplémentaires par mois pour les propriétaires de logements loués sur les sites internet
de locations saisonnières à Amsterdam.",B1
108,"Dans cette ville, tout comme à Paris et Londres, les
autorités ont déjà décidé de mettre en place des règles pour limiter la durée de location.",B1
109,"Les
sites internet de locations saisonnières protestent et affirment que les problèmes de logement
existaient déjà avant leur arrivée.",B1
110,"Pour les habitants des quartiers historiques, la vie n’est plus la même : les rues pleines de
touristes perdent peu à peu leurs magasins de quartier.",B1
111,"Fini les boutiques d’autrefois, adieu
les voisins qu’on connaît bien.",B1
112,"Maintenant, les rues se remplissent de restaurants chics, de
boutiques de souvenirs et de valises à roulettes.",B1
113,"Depuis la salle panoramique de ce restaurant, la vue sur la ville de Lyon est magnifique.",B1
114,"C’est le cadre idéal pour un dîner romantique, mais c’est aussi un endroit tranquille pour les repas d’affaires.",B1
115,La cuisine est classique et à base de produits régionaux.,B1
116,"Le menu « tout légumes » est très apprécié des personnes qui ne mangent ni viande, ni poisson.",B1
117,"Le menu « tradition » permet de goûter d’excellents produits, comme la truite saumonée, le gâteau de légumes ou le dessert au chocolat.",B1
118,"Les serveurs sont mal organisés, c’est dommage.",B1
119,"Dans cet établissement bien connu du centre de Lyon, on nous propose une cuisine gourmande pour un excellent rapport qualité-prix.",B1
120,C’est une très bonne adresse pour les amateurs de viande et de charcuterie.,B1
121,"Si vous ne mangez que des légumes, ce restaurant n’est pas pour vous !",B1
122,Le chef cuisine des spécialités de la région lyonnaise avec des produits de saison.,B1
123,On passe un agréable moment dans ce restaurant même si l’ambiance animée est un peu trop bruyante.,B1
124,Un lieu plutôt réservé aux repas en famille ou entre amis.,B1
