id,sentence,difficulty
18,"Les gourmets, adeptes de bistronomie, s’en voient souvent proposé en plateau accompagné de fruits secs, voire de confiture ; un mélange sucré salé qui sied parfaitement aux apéritifs dinatoires si chers aux papilles hexagonales.",C1
19,"Contrairement à une idée reçue, il n’y a pas 360 fromages en France.",C1
20,"Et mon petit doigt me dit que personne n’est vraiment parvenu à tous les compter, et encore moins à tous les goûter !",C1
21,"Les plus appréciés sont le camembert, le fromage de chèvre, le comté et le roquefort auxquels on se doit d’ajouter la mozzarella qui, depuis les années 2020 connaît une grande popularité sur les tables des Français.",C1
22,"Intéressons-nous au camembert, et plus particulièrement au camembert de Normandie.",C1
23,"Mais, quand d’un passé ancien rien ne subsiste, après la mort des êtres, après la destruction des choses, seules, plus frêles mais plus vivaces, plus immatérielles, plus persistantes, plus fidèles, l’odeur et la saveur restent encore longtemps, comme des âmes, à se rappeler, à attendre, à espérer, sur la ruine de tout le reste, à porter sans fléchir, sur leur gouttelette presque impalpable, l’édifice immense du souvenir.",C1
24,"Et dès que j’eus reconnu le goût du morceau de madeleine trempé dans le tilleul que me donnait ma tante (quoiqueje ne susse pas encore et dusse remettre à bien plus tard de découvrir pourquoi ce souvenir me rendait si heureux), aussitôt la vieille maison grise sur la rue, où était sa chambre, vint comme un décor de théâtre s’appliquer au petit pavillon donnant sur le jardin, qu’on avait construit pour mes parents sur ses derrières (ce pan tronqué que seul j’avais revu jusque-là) ; et avec la maison, la ville, la Place où on m’envoyait avant déjeuner, les rues où j’allais faire des courses depuis le matin jusqu’au soir et par tous les temps, les chemins qu’on prenait si le temps était beau.",C1
25,"Et comme dans ce jeu où les Japonais s’amusent à tremper dans un bol de porcelaine rempli d’eau de petits morceaux de papier jusque-là indistincts qui, à peine y sont-ils plongés s’étirent, se contournent, se colorent, se différencient, deviennent des fleurs, des maisons, des personnages consistants et reconnaissables, de même maintenant toutes les fleurs de notre jardin et celles du parc de M. Swann, et les nymphéas de la Vivonne, et les bonnes gens du village et leurs petits logis et l’église et tout Combray et ses environs, tout cela qui prend forme et solidité, est sorti, ville et jardins, de ma tasse de thé.",C1
26,"Maintenant je ne sens plus rien, il est arrêté, redescendu peut-être ; qui sait s’il remontera jamais de sa nuit ?",C1
27,"Dix fois il me faut recommencer, me pencher vers lui.",C1
28,"Et chaque fois la lâcheté qui nous détourne de toute tâche difficile, de toute œuvre importante, m’a conseillé de laisser cela, de boire mon thé en pensant simplement à mes ennuis d’aujourd’hui, à mes désirs de demain qui se laissent remâcher sans peine.",C1
29,Et tout d’un coup le souvenir m’est apparu.,C1
30,"Ce goût, c’était celui du petit morceau de madeleine que le dimanche matin à Combray (parce que ce jour-là je ne sortais pas avant l’heure de la messe), quand j’allais lui dire bonjour dans sa chambre, ma tante Léonie m’offrait après l’avoir trempé dans son infusion de thé ou de tilleul.",C1
31,"La vue de la petite madeleine ne m’avait rien rappelé avant que je n’y eusse goûté ; peut-être parce que, en ayant souvent aperçu depuis, sans en manger, sur les tablettes des pâtissiers, leur image avait quitté ces jours de Combray pour se lier à d’autres plus récents ; peut-être parce que, de ces souvenirs abandonnés si longtemps hors de la mémoire, rien ne survivait, tout s’était désagrégé ; les formes – et celle aussi du petit coquillage de pâtisserie, si grassement sensuel sous son plissage sévère et dévot – s’étaient abolies, ou, ensommeillées, avaient perdu la force d’expansion qui leur eût permis de rejoindre la conscience.",C1
32,"Il y a beaucoup de hasard en tout ceci, et un second hasard, celui de notre mort, souvent ne nous permet pas d’attendre longtemps les faveurs du premier.",C1
33,"Je trouve très raisonnable la croyance celtique que les âmes de ceux que nous avons perdus sont captives dans quelque être inférieur, dans une bête, un végétal, une chose inanimée, perdues en effet pour nous jusqu’au jour, qui pour beaucoup ne vient jamais, où nous nous trouvons passer près de l’arbre, entrer en possession de l’objet qui est leur prison.",C1
34,"Alors elles tressaillent, nous appellent, et sitôt que nous les avons reconnues, l’enchantement est brisé.",C1
35,"Délivrées par nous, elles ont vaincu la mort et reviennent vivre avec nous.",C1
36,"C’est peine perdue que nous cherchions à l’évoquer, tous les efforts de notre intelligence sont inutiles.",C1
37,"Il est caché hors de son domaine et de sa portée, en quelque objet matériel (en la sensation que nous donnerait cet objet matériel), que nous ne soupçonnons pas.",C1
38,"Cet objet, il dépend du hasard que nous le rencontrions avant de mourir, ou que nous ne le rencontrions pas.",C1
39,"Il y avait déjà bien des années que, de Combray, tout ce qui n’était pas le théâtre et la drame de mon coucher n’existait plus pour moi, quand un jour d’hiver, comme je rentrais à la maison, ma mère, voyant que j’avais froid, me proposa de me faire prendre, contre mon habitude, un peu de thé.",C1
40,"Je refusai d’abord et, je ne sais pourquoi, me ravisai.",C1
41,Elle envoya chercher un de ces gâteaux courts et dodus appelés Petites Madeleines qui semblent avoir été moulés dans la valve rainurée d’une coquille de Saint-Jacques.,C1
42,"Et bientôt, machinalement, accablé par la morne journée et la perspective d’un triste lendemain, je portai à mes lèvres une cuillerée du thé où j’avais laissé s’amollir un morceau de madeleine.",C1
43,"Mais à l’instant même où la gorgée mêlée des miettes du gâteau toucha mon palais, je tressaillis, attentif à ce qui se passait d’extraordinaire en moi.",C1
44,"Un plaisir délicieux m’avait envahi, isolé, sans la notion de sa cause.",C1
45,"Il m’avait aussitôt rendu les vicissitudes de la vie indifférentes, ses désastres inoffensifs, sa brièveté illusoire, de la même façon qu’opère l’amour, en me remplissant d’une essence précieuse : ou plutôt cette essence n’était pas en moi, elle était moi.",C1
46,"J’avais cessé de me sentir médiocre, contingent, mortel.",C1
47,D’où avait pu me venir cette puissante joie ?,C1
48,"Je sentais qu’elle était liée au goût du thé et du gâteau, mais qu’elle le dépassait infiniment, ne devait pas être de même nature.",C1
49,"Je bois une seconde gorgée où je ne trouve rien de plus que dans la première, une troisième qui m’apporte un peu moins que la seconde.",C1
50,"Il est temps que je m’arrête, la vertu du breuvage semble diminuer.",C1
51,"Il est clair que la vérité que je cherche n’est pas en lui, mais en moi.",C1
52,"Il l’y a éveillée, mais ne la connaît pas, et ne peut que répéter indéfiniment, avec de moins en moins de force, ce même témoignage que je ne sais pas interpréter et que je veux au moins pouvoir lui redemander et retrouver intact à ma disposition, tout à l’heure, pour un éclaircissement décisif.",C1
53,Je pose la tasse et me tourne vers mon esprit.,C1
54,C’est à lui de trouver la vérité.,C1
55,"Grave incertitude, toutes les fois que l’esprit se sent dépassé par lui même ; quand lui, le chercheur, est tout ensemble le pays obscur où il doit chercher et où tout son bagage ne lui sera de rien.",C1
56,"Il est en face de quelque chose qui n’est pas encore et que seul il peut réaliser, puis faire entrer dans sa lumière.",C1
57,"Et je recommence à me demander quel pouvait être cet état inconnu, qui n’apportait aucune preuve logique, mais l’évidence de sa félicité, de sa réalité devant laquelle les autres s’évanouissaient.",C1
58,Je rétrograde par la pensée au moment où je pris la première cuillerée de thé.,C1
59,"Je retrouve le même état, sans une clarté nouvelle.",C1
60,"Je demande à mon esprit un effort de plus, de ramener encore une fois la sensation qui s’enfuit.",C1
61,"Et, pour que rien ne brise l’élan dont il va tâcher de la ressaisir, j’écarte tout obstacle, toute idée étrangère, j’abrite mes oreilles et mon attention contre les bruits de la chambre voisine.",C1
62,"Mais sentant mon esprit qui se fatigue sans réussir, je le force au contraire à prendre cette distraction que je lui refusais, à penser à autre chose, à se refaire avant une tentative suprême.",C1
63,"Puis une deuxième fois, je fais le vide devant lui, je remets en face de lui la saveur encore récente de cette première gorgée et je sens tressaillir en moi quelque chose qui se déplace, voudrait s’élever, quelque chose qu’on aurait désancré, à une grande profondeur ; je ne sais ce que c’est, mais cela monte lentement ; j’éprouve la résistance et j’entends la rumeur des distances traversées.",C1
64,"Certes, ce qui palpite ainsi au fond de moi, ce doit être l’image, le souvenir visuel, qui, lié à cette saveur, tente de la suivre jusqu’à moi.",C1
65,"Mais il se débat trop loin, trop confusément ; à peine si je perçois le reflet neutre où se confond l’insaisissable tourbillon des couleurs remuées; mais je ne puis distinguer la forme, lui demander comme au seul interprète possible, de me traduire le témoignage de sa contemporaine, de son inséparable compagne, la saveur, lui demander de m’apprendre de quelle circonstance particulière, de quelle époque du passé il s’agit.",C1
66,"Arrivera-t-il jusqu’à la surface de ma claire conscience, ce souvenir, l’instant ancien que l’attraction d’un instant identique est venue de si loin solliciter, émouvoir, soulever tout au fond de moi ?",C1
67,"C’est ainsi que, pendant longtemps, quand, réveillé la nuit, je me ressouvenais de Combray, je n’en revis jamais que cette sorte de pan lumineux, découpé au milieu d’indistinctes ténèbres, pareil à ceux que l’embrasement d’un feu de bengale ou quelque projection électrique éclairent et sectionnent dans un édifice dont les autres parties restent plongées dans la nuit : à la base assez large, le petit salon, la salle à manger, l’amorce de l’allée obscure par où arriverait M. Swann, l’auteur inconscient de mes tristesses, le vestibule où je m’acheminais vers la première marche de l’escalier, si cruel à monter, qui constituait à lui seul le tronc fort étroit de cette pyramide irrégulière ; et, au faîte, ma chambre à coucher avec le petit couloir à porte vitrée pour l’entrée de maman ; en un mot, toujours vu à la même heure, isolé de tout ce qu’il pouvait y avoir autour, se détachant seul sur l’obscurité, le décor strictement nécessaire (comme celui qu’on voit indiqué en tête des vieilles pièces pour les représentations en province) au drame de mon déshabillage ; comme si Combray n’avait consisté qu’en deux étages reliés par un mince escalier et comme s’il n’y avait jamais été que sept heures du soir.",C1
68,"À vrai dire, j’aurais pu répondre à qui m’eût interrogé que Combray comprenait encore autre chose et existait à d’autres heures.",C1
69,"Mais comme ce que je m’en serais rappelé m’eût été fourni seulement par la mémoire volontaire, la mémoire de l’intelligence, et comme les renseignements qu’elle donne sur le passé ne conservent rien de lui, je n’aurais jamais eu envie de songer à ce reste de Combray.",C1
70,Tout cela était en réalité mort pour moi.,C1
71,Des décisions ont été prises pour tenter de sortir la Grèce de ce passage à vide mais la mayonnaise ne prend pas.,C1
72,"D’après certains journalistes, la survie de l’euro ne tiendrait qu’à un fil.",C1
73,Les plans de rigueur se succèdent dans de nombreux pays pour remédier aux déficits mais le revers de la médaille est que cela entraîne un mécontentement général et que les gens votent de plus en plus pour des partis nationalistes proposant la sortie de l’euro.,C1
74,L’Union européenne a donc du plomb dans l’aile.,C1
75,Les plus optimistes soutiennent que l’Union européenne est sur la corde raide mais que la situation s’améliorera vite quand la croissance reprendra.,C1
76,"Cependant, la dette est là et on n’y coupera pas !",C1
77,"Il faudra bien un jour la payer et pour cela, il faudra nous serrer encore un peu plus la ceinture.",C1
